Стаття (Джерело),Комерційна сторінка (Куди веде),Анкор (Ключове слово),Контекст (Де вставити),Повний абзац
https://barbashyn.law/statti/podatkove-rezydentstvo-ukrayiny-nabuttya-i-vtrata/,https://barbashyn.law/praktiki/biznes-pravo/tax-residency/,податкове резидентство,"...Податкове резидентство – це статус або ознака, яка вказує на те, в якій ...","Податкове резидентство – це статус або ознака, яка вказує на те, в якій країні декларувати доходи та сплачувати податки."
https://barbashyn.law/statti/pro-realni-kejsy-0-irs-v-portugaliyi-ta-pidsumky-deklaruvannya-2024/,https://barbashyn.law/praktiki/biznes-pravo/tax-residency/,статус податкового резидента,"...Нагадуємо, що статус податкового резидента визначається за такими критеріями як перебування ...","Нагадуємо, що статус податкового резидента визначається за такими критеріями як перебування в країні 183+ дні, житло, статус NHR, тимчасовий захист тощо."
https://barbashyn.law/statti/pro-realni-kejsy-0-irs-v-portugaliyi-ta-pidsumky-deklaruvannya-2024/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,... країни. про податкове резидентство та українські кік за посиланням....,"! якщо ви здійснили переїзд з іншої країни, то слід звірити, чи не будуть вас вважати одночасно податковим резидентом дві країни. про податкове резидентство та українські кік за посиланням."
https://barbashyn.law/statti/kik-shtrafy-skasovano-chy-vidterminovano/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,...ій (контрольована іноземна компанія або скорочено КІК) мають ряд обов’язків – подати в податкові органи...,"Власники іноземних компаній (контрольована іноземна компанія або скорочено КІК) мають ряд обов’язків – подати в податкові органи повідомлення, декларацію та звіт, сплатити податки, якщо немає підстав для звільнення від оподаткування. Нагадаємо, що обов’язки стосуються податкових резидентів України."
https://barbashyn.law/statti/gdpr-zastosuvannya-v-ukrayini-ta-yes/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,...ьно працювати з персональними даними за правилами GDPR: від базових вимог до практичних порад щодо захис...,"Про те, як бізнесу правильно працювати з персональними даними за правилами GDPR: від базових вимог до практичних порад щодо захисту даних клієнтів."
https://barbashyn.law/statti/chy-mozhna-vstanovyty-fakt-vtraty-statusu-podatkovogo-rezydenta-ukrayiny-cherez-sud/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,"... податкова нарахувала штраф за неподання звіту по КІК, ви не погоджуєтесь, оскільки вважаєте себе резид...","Але піднімати питання втрати статусу доцільно тоді, коли є зв’язок між податковим резидентством та предметом спору. Наприклад, податкова нарахувала штраф за неподання звіту по КІК, ви не погоджуєтесь, оскільки вважаєте себе резидентом іншої країни та таким, що не зобов’язаний звітувати по КІК. Оскільки обов’язки по КІК поширюються саме на резидентів України, в даному випадку варто розглядати, чи мала місце втрата статусу."
https://barbashyn.law/statti/shho-slid-znaty-web3-biznesu-po-reyestratsiyi-tm-z-prykladamy/,https://barbashyn.law/praktiki/blockchain-crypto/,блокчейн,...м залишається можливість захистити бренд у галузі блокчейн-бізнесу. У цій статті ми детально розглянемо особ...,"Останнім часом все більше людей говорять про електронні гроші та цифрові активи, такі як криптовалюта. Зараз існує чимало компаній, які займаються створенням платформ для роботи з цифровими активами, такими як генерація цифрових гаманців, проведення конвертацій, переказів тощо. Актуальним питанням залишається можливість захистити бренд у галузі блокчейн-бізнесу. У цій статті ми детально розглянемо особливості реєстрації торговельної марки (ТМ), пов’язані з криптовалютою, товари та послуги."
https://barbashyn.law/statti/tokenizatsiya-vashyh-proektiv/,https://barbashyn.law/praktiki/blockchain-crypto/,блокчейн,"...проєкту — це процес створення цифрових токенів на блокчейні, які представляють права на актив, частку компан...","Токенізація проєкту — це процес створення цифрових токенів на блокчейні, які представляють права на актив, частку компанії або інвестиційний інструмент. Токени можуть бути куплені, продані або передані іншим інвесторам через блокчейн-платформи."
https://barbashyn.law/statti/place-of-residence-as-a-criterion-for-tax-residency/,https://barbashyn.law/praktiki/biznes-pravo/tax-residency/,податкове резидентство,...Що таке податкове резидентство?...,Що таке податкове резидентство?
https://barbashyn.law/statti/tvij-ai-gajd-abo-yak-it-ta-startapam-pidgotuvatysya-do-ai-regulyuvannya/,https://barbashyn.law/praktiki/ai-i-pravo/,ai act,...Що таке EU AI Act?...,Що таке EU AI Act?
https://barbashyn.law/statti/legal-aspects-of-using-artificial-intelligence-in-gaming/,https://barbashyn.law/praktiki/ai-i-pravo/,штучний інтелект,...Як штучний інтелект використовується у відеоіграх?...,Як штучний інтелект використовується у відеоіграх?
https://barbashyn.law/statti/zaluchennya-investytsiy-v-it-yurydychni-aspekty/,https://barbashyn.law/praktiki/blockchain-crypto/,криптовалют,...Чи можна залучити інвестиції через токени або криптовалюту?...,Чи можна залучити інвестиції через токени або криптовалюту?
https://barbashyn.law/statti/zaluchennya-investytsiy-v-it-yurydychni-aspekty/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,"...ня про реєстрацію за кордоном потребує врахування КІК, валютного законодавства та операційних витрат....","Технічно — так. Юридично — з обмеженнями. Більшість іноземних венчурних фондів мають внутрішні інвестиційні обмеження щодо юрисдикцій, і частина фондів не може інвестувати безпосередньо в українські ТОВ. Для ангельських інвесторів або грантових програм обмеження менші. Якщо ціллю є залучення американського або британського VC — холдинг у Delaware або Великобританії значно підвищує шанси та спрощує процес. Проте рішення про реєстрацію за кордоном потребує врахування КІК, валютного законодавства та операційних витрат."
https://barbashyn.law/statti/blog-ai-transparency-chomu-biznesu-varto-hotuvatysia-do-ai-act-vzhe-zaraz/,https://barbashyn.law/praktiki/ai-i-pravo/,ai act,...Чи стосується AI Act української компанії без офісу в ЄС?...,Чи стосується AI Act української компанії без офісу в ЄС?
https://barbashyn.law/statti/blog-ai-transparency-chomu-biznesu-varto-hotuvatysia-do-ai-act-vzhe-zaraz/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,... Act співвідноситься з правами суб'єктів даних за GDPR?...,Як AI Act співвідноситься з правами суб'єктів даних за GDPR?
https://barbashyn.law/statti/blog-yak-vidkryty-kompaniyu-za-kordonom/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,...ретично підлягає оподаткуванню в Україні. Правила КІК можуть зобов'язати вас включити нерозподілений пр...,Залежить від конкретної ситуації. Якщо ви залишаєтесь податковим резидентом України — ваш світовий дохід теоретично підлягає оподаткуванню в Україні. Правила КІК можуть зобов'язати вас включити нерозподілений прибуток іноземної компанії до вашого оподатковуваного доходу. Для уникнення подвійного оподаткування ключову роль відіграють угоди DTA: якщо країна реєстрації компанії має DTA з Україною і КІК вже сплатив там податок — в Україні може застосовуватись залік сплаченого за кордоном податку. Якщо такої угоди немає — може виникнути повне подвійне оподаткування. У кожному конкретному випадку відповідь різна і потребує індивідуальної консультації.
https://barbashyn.law/business-law/statti-zakhyst-personalnykh-danykh-u-sviti/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,...1. Чи потрібно дотримуватися GDPR українській компанії без офісу в ЄС?...,1. Чи потрібно дотримуватися GDPR українській компанії без офісу в ЄС?
https://barbashyn.law/statti/personalni-dani-pislya-gdpr-novi-pravovi-vyklyky/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,"...Уже понад вісім років минуло з моменту, коли GDPR набув чинності, і досі цей Регламент залишається ...","Уже понад вісім років минуло з моменту, коли GDPR набув чинності, і досі цей Регламент залишається головним міжнародним актом у галузі захисту персональних даних. Його норми є необхідними не тільки для держав Європейського Союзу, але й для міжнародного бізнесу з різних частин світу."
https://barbashyn.law/statti/blog-revised-pld-ta-ai-act-nova-vidpovidalnist-dlya-it-biznesu/,https://barbashyn.law/praktiki/ai-i-pravo/,ai act,...м» пiд суворим режимом вiдповiдальностi. Окремо – AI Act мiтить дедлайни вже цього серпня. Цей матерiал не...,"З 9 грудня 2026 компанiя, чий software або AI-продукт завдасть шкоди користувачу в ЄС, може опинитися перед судом без необхiдностi доводити провину – тому що Directive (EU) 2024/2853 вперше прямо визнає software та AI «продуктом» пiд суворим режимом вiдповiдальностi. Окремо – AI Act мiтить дедлайни вже цього серпня. Цей матерiал не переказує директиви – вiн розбирає, яка конкретно вiдповiдальнiсть виникає i якi кроки потрiбнi вже зараз."
https://barbashyn.law/statti/crs-2-0-elektronni-groshi-cifrovi-valyuti-virtualni-aktivi/,https://barbashyn.law/praktiki/blockchain-crypto/,віртуальні активи,"...ронних грошей, цифрові валюти центральних банків, віртуальні активи....","Головною новелою оновленого стандарту стало розширення сфери автоматичного обміну інформацією на продукти електронних грошей, цифрові валюти центральних банків, віртуальні активи."
https://barbashyn.law/statti/blog-avtomatychnyy-obmin-danymy-dps-dpsu-pravovi-pidstavy-naslidky/,https://barbashyn.law/praktiki/biznes-pravo/tax-residency/,податкове резидентство,...Податкове резидентство визначається за правилами ст. 14.1.213 і 162.2 По...,Податкове резидентство визначається за правилами ст. 14.1.213 і 162.2 Податкового кодексу. Базовий критерій — перебування понад 183 дні на рік в Україні. Якщо є сумніви щодо вашого статусу або ви плануєте змінити країну проживання — рекомендуємо провести аналіз заздалегідь і при необхідності отримати підтвердження резидентства іноземної держави у відповідній формі.
https://barbashyn.law/business-law/recent-court-cases-training-data-businesses/,https://barbashyn.law/praktiki/ai-i-pravo/,ai act,"...ься корисними незалежно вiд результату. По-третє, AI Act ст. 53 вже дiє - i обов'язок поважати opt-out для...","Нi. По-перше, поки справи проходять апеляцiї - нiяка нова справа не припиняється. По-друге, навiть якщо вищi iнстанцiї скоригують висновки, документацiя провенансу даних i запобiжники проти memorisation лишаться корисними незалежно вiд результату. По-третє, AI Act ст. 53 вже дiє - i обов'язок поважати opt-out для GPAI-провайдерiв не залежить вiд того, як завершиться GEMA v OpenAI."
https://barbashyn.law/statti/deepfake-ta-pravo-na-zobrazhennya-hto-vidpovidaye-za-czyfrovu-kopiyu-lyudyny/,https://barbashyn.law/praktiki/ai-i-pravo/,ai act,... рівні. Пункт 60 ст. 3 Регламенту (ЄС) 2024/1689 (AI Act) визначає deepfake як створений або змінений за д...,"У Європейському Союзі поняття deepfake вже закріплене на законодавчому рівні. Пункт 60 ст. 3 Регламенту (ЄС) 2024/1689 (AI Act) визначає deepfake як створений або змінений за допомогою ШІ контент у формі зображення, аудіо чи відео, який нагадує реально існуючих осіб, об’єкти, місця, суб’єктів або події та може створювати хибне враження, що він є автентичним або правдивим."
https://barbashyn.law/statti/deepfake-ta-pravo-na-zobrazhennya-hto-vidpovidaye-za-czyfrovu-kopiyu-lyudyny/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,захист персональних даних,"...каність ділової репутації; право на приватність і захист персональних даних, а за певних умов – біометричних даних; авторські...","Створення та використання deepfake може одночасно зачіпати декілька груп прав та охоронюваних законом інтересів. Йдеться насамперед про особисті немайнові права: право на зображення, ім’я, честь, гідність та недоторканість ділової репутації; право на приватність і захист персональних даних, а за певних умов – біометричних даних; авторські та суміжні права, якщо використовуються охоронювані фотографії, відеозаписи, фонограми чи виконання; а також майнові та комерційні інтереси, коли цифрова імітація людини використовується, наприклад, у рекламі або шахрайських схемах."
